WKT,area_id,style,xmin,ymin,xmax,ymax
"MULTIPOLYGON (((805109 6892565,805109 6899185,811729 6899185,811729 6892565,805109 6892565)))",606,94_style1,805109.000000000000000,6892565.000000000931323,811729.000000000000000,6899185.000000000000000
"MULTIPOLYGON (((719049 6832985,719049 6839605,725669 6839605,725669 6832985,719049 6832985)))",324,94_style1,719049.000000000000000,6832985.000000000000000,725669.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((778629 6879325,778629 6885945,785249 6885945,785249 6879325,778629 6879325)))",520,94_style1,778629.000000000000000,6879325.000000000000000,785249.000000000000000,6885945.000000000000000
"MULTIPOLYGON (((778629 6905805,778629 6912425,785249 6912425,785249 6905805,778629 6905805)))",524,94_style1,778629.000000000000000,6905805.000000000000000,785249.000000000000000,6912425.000000000000000
"MULTIPOLYGON (((811729 6885945,811729 6892565,818349 6892565,818349 6885945,811729 6885945)))",626,94_style1,811729.000000000000000,6885945.000000000000000,818349.000000000000000,6892565.000000000931323
"MULTIPOLYGON (((765389 6912425,765389 6919045,772009 6919045,772009 6912425,765389 6912425)))",483,94_style1,765389.000000000000000,6912425.000000000000000,772009.000000000000000,6919045.000000000000000
"MULTIPOLYGON (((772009 6905805,772009 6912425,778629 6912425,778629 6905805,772009 6905805)))",503,94_style1,772009.000000000000000,6905805.000000000000000,778629.000000000000000,6912425.000000000000000
"MULTIPOLYGON (((778629 6892565,778629 6899185,785249 6899185,785249 6892565,778629 6892565)))",522,94_style1,778629.000000000000000,6892565.000000000931323,785249.000000000000000,6899185.000000000000000
"MULTIPOLYGON (((659469 6813125,659469 6819745,666089 6819745,666089 6813125,659469 6813125)))",132,94_style1,659469.000000000000000,6813125.000000000000000,666089.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((824969 6839605,824969 6846225,831589 6846225,831589 6839605,824969 6839605)))",661,94_style1,824969.000000000000000,6839605.000000000931323,831589.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((699189 6852845,699189 6859465,705809 6859465,705809 6852845,699189 6852845)))",264,94_style1,699189.000000000000000,6852845.000000000000000,705809.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((685949 6846225,685949 6852845,692569 6852845,692569 6846225,685949 6846225)))",221,94_style1,685949.000000000000000,6846225.000000000000000,692569.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((778629 6866085,778629 6872705,785249 6872705,785249 6866085,778629 6866085)))",518,94_style1,778629.000000000000000,6866085.000000000000000,785249.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((666089 6839605,666089 6846225,672709 6846225,672709 6839605,666089 6839605)))",157,94_style1,666089.000000000000000,6839605.000000000931323,672709.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((659469 6806505,659469 6813125,666089 6813125,666089 6806505,659469 6806505)))",131,94_style1,659469.000000000000000,6806505.000000000000000,666089.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((778629 6872705,778629 6879325,785249 6879325,785249 6872705,778629 6872705)))",519,94_style1,778629.000000000000000,6872705.000000000000000,785249.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((692569 6872705,692569 6879325,699189 6879325,699189 6872705,692569 6872705)))",246,94_style1,692569.000000000000000,6872705.000000000000000,699189.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((805109 6866085,805109 6872705,811729 6872705,811729 6866085,805109 6866085)))",602,94_style1,805109.000000000000000,6866085.000000000000000,811729.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((791869 6905805,791869 6912425,798489 6912425,798489 6905805,791869 6905805)))",566,94_style1,791869.000000000000000,6905805.000000000000000,798489.000000000000000,6912425.000000000000000
"MULTIPOLYGON (((785249 6905805,785249 6912425,791869 6912425,791869 6905805,785249 6905805)))",545,94_style1,785249.000000000000000,6905805.000000000000000,791869.000000000000000,6912425.000000000000000
"MULTIPOLYGON (((824969 6852845,824969 6859465,831589 6859465,831589 6852845,824969 6852845)))",663,94_style1,824969.000000000000000,6852845.000000000000000,831589.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((778629 6899185,778629 6905805,785249 6905805,785249 6899185,778629 6899185)))",523,94_style1,778629.000000000000000,6899185.000000000000000,785249.000000000000000,6905805.000000000000000
"MULTIPOLYGON (((679329 6786645,679329 6793265,685949 6793265,685949 6786645,679329 6786645)))",191,94_style1,679329.000000000000000,6786645.000000000931323,685949.000000000000000,6793265.000000000000000
"MULTIPOLYGON (((745529 6859465,745529 6866085,752149 6866085,752149 6859465,745529 6859465)))",412,94_style1,745529.000000000000000,6859465.000000000000000,752149.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((791869 6852845,791869 6859465,798489 6859465,798489 6852845,791869 6852845)))",558,94_style1,791869.000000000000000,6852845.000000000000000,798489.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((765389 6872705,765389 6879325,772009 6879325,772009 6872705,765389 6872705)))",477,94_style1,765389.000000000000000,6872705.000000000000000,772009.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((765389 6892565,765389 6899185,772009 6899185,772009 6892565,765389 6892565)))",480,94_style1,765389.000000000000000,6892565.000000000931323,772009.000000000000000,6899185.000000000000000
"MULTIPOLYGON (((685949 6786645,685949 6793265,692569 6793265,692569 6786645,685949 6786645)))",212,94_style1,685949.000000000000000,6786645.000000000931323,692569.000000000000000,6793265.000000000000000
"MULTIPOLYGON (((646229 6866085,646229 6872705,652849 6872705,652849 6866085,646229 6866085)))",98,94_style1,646229.000000000000000,6866085.000000000000000,652849.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((652849 6832985,652849 6839605,659469 6839605,659469 6832985,652849 6832985)))",114,94_style1,652849.000000000000000,6832985.000000000000000,659469.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((659469 6819745,659469 6826365,666089 6826365,666089 6819745,659469 6819745)))",133,94_style1,659469.000000000000000,6819745.000000000000000,666089.000000000000000,6826365.000000000000000
"MULTIPOLYGON (((719049 6852845,719049 6859465,725669 6859465,725669 6852845,719049 6852845)))",327,94_style1,719049.000000000000000,6852845.000000000000000,725669.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((811729 6872705,811729 6879325,818349 6879325,818349 6872705,811729 6872705)))",624,94_style1,811729.000000000000000,6872705.000000000000000,818349.000000000000000,6879325.000000000000000
